,제목,저자,출판사,출판일,정가
0,세이노의 가르침,세이노 저,데이원,2023년 03월,7200.0
1,김미경의 마흔 수업,김미경 저,어웨이크북스,2023년 02월,18000.0
2,"살 때, 팔 때, 벌 때",강영현 저,21세기북스,2023년 03월,22000.0
3,스즈메의 문단속,신카이 마코토 저/민경욱 역,대원씨아이(단행)(대원키즈),2023년 01월,13000.0
4,아버지의 해방일지,정지아 저,창비,2022년 09월,15000.0
5,1퍼센트 부자의 법칙,사이토 히토리 저/김진아 역,나비스쿨(NAVI SCHOOL),2023년 01월,17000.0
6,만일 내가 인생을 다시 산다면 (30만 부 기념 스페셜 에디션),김혜남 저,메이븐,2022년 11월,17200.0
7,K 배터리 레볼루션,박순혁 저,지와인,2023년 02월,19000.0
8,고양이 해결사 깜냥 5,홍민정 글/김재희 그림,창비,2023년 02월,11000.0
9,브라질에 비가 내리면 스타벅스 주식을 사라,피터 나바로 저/이창식 역,에프엔미디어,2022년 04월,18000.0
10,타이탄의 도구들 (블랙 에디션),"팀 페리스 저/박선령,정지현 역",토네이도,2022년 06월,18000.0
11,불편한 편의점,김호연 저,나무옆의자,2021년 04월,14000.0
12,설민석의 한국사 대모험 24,"설민석,스토리박스 글/정현희 그림/강석화 감수",단꿈아이,2023년 02월,13000.0
13,원씽 THE ONE THING,"제이 파파산,게리 켈러 저/구세희 역",비즈니스북스,2013년 08월,14000.0
14,내면소통,김주환 저,인플루엔셜,2023년 02월,33000.0
15,사장학개론,김승호 저,스노우폭스북스,2023년 04월,25000.0
16,나는 대한민국 검사였다,이인규 저,조갑제닷컴,2023년 03월,20000.0
17,불편한 편의점 2,김호연 저,나무옆의자,2022년 08월,14000.0
18,ETS 토익 정기시험 기출문제집 1000 Vol.3 READING 리딩 ,ETS 저,YBM(와이비엠),2021년 12월,17800.0
19,흔한남매 과학 탐험대 7 생물 1,"흔한남매 원저/이현진,김언정 글/김덕영 그림/최진수,권경아,김희목,정현철 기획",주니어김영사,2023년 03월,14000.0
20,챗GPT : 마침내 찾아온 특이점,반병현 저,생능북스,2023년 02월,13000.0
21,이상한 과자 가게 전천당 17,히로시마 레이코 글/쟈쟈 그림/김정화 역,길벗스쿨,2023년 03월,13000.0
22,슬램덩크 리소스-THE FIRST SLAM DUNK re:SOURCE,이노우에 타케히코 글그림,대원,2023년 02월,20000.0
23,ETS 토익 정기시험 기출문제집 1000 Vol.3 LISTENING 리스닝  ,ETS 저,YBM(와이비엠),2021년 12월,17800.0
24,상처 주는 말 하는 친구에게 똑똑하게 말하는 법,김윤나 글/유영근 그림,북라이프,2023년 02월,13000.0
25,"2023 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 상",최태성 저,이투스북,2022년 12월,15500.0
26,156층 나무 집,앤디 그리피스 글/테리 덴톤 그림/신수진 역,시공주니어,2023년 02월,14000.0
27,"2023 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 하",최태성 저,이투스북,2022년 12월,15000.0
28,역행자,자청 저,웅진지식하우스,2022년 05월,17500.0
29,거인의 노트,김익한 저,다산북스,2023년 03월,18000.0
30,해커스 토익 기출  VOCA 보카,데이비드 조 저,해커스어학연구소,2020년 03월,12900.0
31,조셉 머피 잠재의식의 힘,조셉 머피 저/조율리 역,다산북스,2023년 02월,19000.0
32,효기심의 권력으로 읽는 세계사 - 유럽편,효기심(최영효) 저,다산초당,2023년 03월,19800.0
33,부자 아빠 가난한 아빠 20주년 특별 기념판,로버트 기요사키 저/안진환 역,민음인,2018년 02월,17000.0
34,기적의 집밥책,김해진 저,청림Life,2023년 03월,20000.0
35,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",이치조 미사키 저/권영주 역,모모,2021년 06월,14000.0
36,슬램덩크 신장재편판 1,이노우에 타케히코 글그림,대원,2018년 08월,7000.0
